companyName,website,email,phone,address,city,state,vertical,tier,tags,notes,source
J.B. Hunt Transport Services,https://jbhunt.com,dispatch@jbhunt.com,,,Denver Metro,CO,Freight broker / 3PL,A,tier-A|Freight broker / 3PL|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account dispatch@jbhunt.com. Refrigerated=false. Chain=true.,lead-gen-50
Alpine Lumber,https://alpinelumber.com,procurement@alpinelumber.com,,,Denver Metro,CO,Construction / contractor,A,tier-A|Construction / contractor|lead-gen-50|email-role-account,Generated batch of 50 — role-account procurement@alpinelumber.com. Refrigerated=false. Chain=false.,lead-gen-50
Sweet Leaf Marijuana,https://sweetleafmarijuana.com,procurement@sweetleafmarijuana.com,,,Denver Metro,CO,Cannabis (dispensary / cultivation),A,tier-A|Cannabis (dispensary / cultivation)|lead-gen-50|email-role-account,Generated batch of 50 — role-account procurement@sweetleafmarijuana.com. Refrigerated=false. Chain=false.,lead-gen-50
Target,https://target.com,procurement@target.com,,,Denver Metro,CO,Big-box retail,A,tier-A|Big-box retail|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@target.com. Refrigerated=false. Chain=true.,lead-gen-50
Trader Joe's,https://traderjoes.com,info@traderjoes.com,,,Denver Metro,CO,Small business,A,tier-A|Small business|lead-gen-50|email-role-account|refrigerated|chain-store,Generated batch of 50 — role-account info@traderjoes.com. Refrigerated=true. Chain=true.,lead-gen-50
Tokyo Joe's,https://tokyojoes.com,orders@tokyojoes.com,,,Denver Metro,CO,Restaurant,A,tier-A|Restaurant|lead-gen-50|email-role-account|refrigerated,Generated batch of 50 — role-account orders@tokyojoes.com. Refrigerated=true. Chain=false.,lead-gen-50
Schneider National,https://schneider.com,dispatch@schneider.com,,,Denver Metro,CO,Freight broker / 3PL,A,tier-A|Freight broker / 3PL|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account dispatch@schneider.com. Refrigerated=false. Chain=true.,lead-gen-50
ProBuild Holdings,https://probuild.com,procurement@probuild.com,,,Denver Metro,CO,Construction / contractor,A,tier-A|Construction / contractor|lead-gen-50|email-role-account,Generated batch of 50 — role-account procurement@probuild.com. Refrigerated=false. Chain=false.,lead-gen-50
LivWell Enlightened Health,https://livwell.com,procurement@livwell.com,,,Denver Metro,CO,Cannabis (dispensary / cultivation),A,tier-A|Cannabis (dispensary / cultivation)|lead-gen-50|email-role-account,Generated batch of 50 — role-account procurement@livwell.com. Refrigerated=false. Chain=false.,lead-gen-50
Costco Wholesale,https://costco.com,procurement@costco.com,,,Denver Metro,CO,Big-box retail,A,tier-A|Big-box retail|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@costco.com. Refrigerated=false. Chain=true.,lead-gen-50
Sprouts Farmers Market,https://sprouts.com,info@sprouts.com,,,Denver Metro,CO,Small business,A,tier-A|Small business|lead-gen-50|email-role-account|refrigerated|chain-store,Generated batch of 50 — role-account info@sprouts.com. Refrigerated=true. Chain=true.,lead-gen-50
Modern Market Eatery,https://modernmarket.com,orders@modernmarket.com,,,Denver Metro,CO,Restaurant,A,tier-A|Restaurant|lead-gen-50|email-role-account|refrigerated,Generated batch of 50 — role-account orders@modernmarket.com. Refrigerated=true. Chain=false.,lead-gen-50
Knight-Swift Transportation,https://knight-swift.com,dispatch@knight-swift.com,,,Denver Metro,CO,Freight broker / 3PL,A,tier-A|Freight broker / 3PL|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account dispatch@knight-swift.com. Refrigerated=false. Chain=true.,lead-gen-50
Ferguson Plumbing Supply,https://ferguson.com,procurement@ferguson.com,,,Denver Metro,CO,Construction / contractor,A,tier-A|Construction / contractor|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@ferguson.com. Refrigerated=false. Chain=true.,lead-gen-50
Lightshade Labs,https://lightshade.com,procurement@lightshade.com,,,Denver Metro,CO,Cannabis (dispensary / cultivation),A,tier-A|Cannabis (dispensary / cultivation)|lead-gen-50|email-role-account,Generated batch of 50 — role-account procurement@lightshade.com. Refrigerated=false. Chain=false.,lead-gen-50
Sam's Club,https://samsclub.com,procurement@samsclub.com,,,Denver Metro,CO,Big-box retail,A,tier-A|Big-box retail|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@samsclub.com. Refrigerated=false. Chain=true.,lead-gen-50
Natural Grocers,https://naturalgrocers.com,info@naturalgrocers.com,,,Denver Metro,CO,Small business,A,tier-A|Small business|lead-gen-50|email-role-account|refrigerated,Generated batch of 50 — role-account info@naturalgrocers.com. Refrigerated=true. Chain=false.,lead-gen-50
Smashburger,https://smashburger.com,orders@smashburger.com,,,Denver Metro,CO,Restaurant,A,tier-A|Restaurant|lead-gen-50|email-role-account|refrigerated,Generated batch of 50 — role-account orders@smashburger.com. Refrigerated=true. Chain=false.,lead-gen-50
R+L Carriers,https://rlcarriers.com,dispatch@rlcarriers.com,,,Denver Metro,CO,Freight broker / 3PL,A,tier-A|Freight broker / 3PL|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account dispatch@rlcarriers.com. Refrigerated=false. Chain=true.,lead-gen-50
HD Supply,https://hdsupply.com,procurement@hdsupply.com,,,Denver Metro,CO,Construction / contractor,A,tier-A|Construction / contractor|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@hdsupply.com. Refrigerated=false. Chain=true.,lead-gen-50
Medicine Man Denver,https://medicinemandenver.com,procurement@medicinemandenver.com,,,Denver Metro,CO,Cannabis (dispensary / cultivation),A,tier-A|Cannabis (dispensary / cultivation)|lead-gen-50|email-role-account,Generated batch of 50 — role-account procurement@medicinemandenver.com. Refrigerated=false. Chain=false.,lead-gen-50
Best Buy,https://bestbuy.com,procurement@bestbuy.com,,,Denver Metro,CO,Big-box retail,A,tier-A|Big-box retail|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@bestbuy.com. Refrigerated=false. Chain=true.,lead-gen-50
H Mart,https://hmart.com,info@hmart.com,,,Denver Metro,CO,Small business,A,tier-A|Small business|lead-gen-50|email-role-account|refrigerated|chain-store,Generated batch of 50 — role-account info@hmart.com. Refrigerated=true. Chain=true.,lead-gen-50
Noodles & Company,https://noodles.com,orders@noodles.com,,,Denver Metro,CO,Restaurant,A,tier-A|Restaurant|lead-gen-50|email-role-account|refrigerated,Generated batch of 50 — role-account orders@noodles.com. Refrigerated=true. Chain=false.,lead-gen-50
Old Dominion Freight Line,https://odfl.com,dispatch@odfl.com,,,Denver Metro,CO,Freight broker / 3PL,A,tier-A|Freight broker / 3PL|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account dispatch@odfl.com. Refrigerated=false. Chain=true.,lead-gen-50
Wagner Equipment,https://wagnerequipment.com,procurement@wagnerequipment.com,,,Denver Metro,CO,Construction / contractor,A,tier-A|Construction / contractor|lead-gen-50|email-role-account,Generated batch of 50 — role-account procurement@wagnerequipment.com. Refrigerated=false. Chain=false.,lead-gen-50
Terrapin Care Station,https://terrapincarestation.com,procurement@terrapincarestation.com,,,Denver Metro,CO,Cannabis (dispensary / cultivation),A,tier-A|Cannabis (dispensary / cultivation)|lead-gen-50|email-role-account,Generated batch of 50 — role-account procurement@terrapincarestation.com. Refrigerated=false. Chain=false.,lead-gen-50
IKEA,https://ikea.com,procurement@ikea.com,,,Denver Metro,CO,Big-box retail,A,tier-A|Big-box retail|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@ikea.com. Refrigerated=false. Chain=true.,lead-gen-50
Ace Hardware,https://acehardware.com,info@acehardware.com,,,Denver Metro,CO,Small business,A,tier-A|Small business|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account info@acehardware.com. Refrigerated=false. Chain=true.,lead-gen-50
Chipotle Mexican Grill,https://chipotle.com,orders@chipotle.com,,,Denver Metro,CO,Restaurant,A,tier-A|Restaurant|lead-gen-50|email-role-account|refrigerated|chain-store,Generated batch of 50 — role-account orders@chipotle.com. Refrigerated=true. Chain=true.,lead-gen-50
Estes Express Lines,https://estes-express.com,dispatch@estes-express.com,,,Denver Metro,CO,Freight broker / 3PL,A,tier-A|Freight broker / 3PL|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account dispatch@estes-express.com. Refrigerated=false. Chain=true.,lead-gen-50
Grainger Industrial Supply,https://grainger.com,procurement@grainger.com,,,Denver Metro,CO,Construction / contractor,A,tier-A|Construction / contractor|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@grainger.com. Refrigerated=false. Chain=true.,lead-gen-50
Strawberry Fields Cannabis,https://strawberryfieldscolorado.com,info@strawberryfieldscolorado.com,,,Denver Metro,CO,Cannabis (dispensary / cultivation),A,tier-A|Cannabis (dispensary / cultivation)|lead-gen-50|email-role-account,Generated batch of 50 — role-account info@strawberryfieldscolorado.com. Refrigerated=false. Chain=false.,lead-gen-50
Office Depot,https://officedepot.com,procurement@officedepot.com,,,Denver Metro,CO,Big-box retail,A,tier-A|Big-box retail|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account procurement@officedepot.com. Refrigerated=false. Chain=true.,lead-gen-50
84 Lumber,https://84lumber.com,info@84lumber.com,,,Denver Metro,CO,Small business,A,tier-A|Small business|lead-gen-50|email-role-account|chain-store,Generated batch of 50 — role-account info@84lumber.com. Refrigerated=false. Chain=true.,lead-gen-50
